,title,abstract,affiliations,authors,journal,date,keywords,url
10,Dilated convolution capsule network for apple leaf disease identification,"Accurate and rapid identification of apple leaf diseases is the basis for preventing and treating apple diseases. However, it is challenging to identify apple leaf diseases due to their various symptoms, different colors, irregular shapes, uneven sizes, and complex backgrounds. To reduce computational cost and improve training results, a dilated convolution capsule network (DCCapsNet) is constructed for apple leaf disease identification based on a capsule network (CapsNet) and two dilated Inception modules with different dilation rates. The network can obtain multi-scale deep-level features to improve the classification capability of the model. The dynamic routing algorithm is used between the front and back layers of CapsNet to make the model converge quickly. In DCCapsNet, dilated Inception instead of traditional convolution is used to increase the convolution receptive fields and extract multi-scale features from disease leaf images, and CapsNet is used to capture the classification features of changeable disease leaves and overcome the overfitting problem in the training network. Extensive experiment results on the apple disease leaf image dataset demonstrate that the proposed method can effectively identify apple diseases. The method can realize the rapid and accurate identification of apple leaf disease.","[""1 School of Electronic Information, Xijing University, Xi'an, China.""]","Cong Xu, Xuqi Wang, Shanwen Zhang, ",Frontiers in plant science,2022,apple leaf disease identification; capsule network (CapsNet); dilated convolution; dilated convolution CapsNet (DCCapsNet); inception.,https://pubmed.ncbi.nlm.nih.gov/36388492
11,Diabetic photoreceptors: Mechanisms underlying changes in structure and function,"Based on clinical findings, diabetic retinopathy (DR) has traditionally been defined as a retinal microvasculopathy. Retinal neuronal dysfunction is now recognized as an early event in the diabetic retina before development of overt DR. While detrimental effects of diabetes on the survival and function of inner retinal cells, such as retinal ganglion cells and amacrine cells, are widely recognized, evidence that photoreceptors in the outer retina undergo early alterations in diabetes has emerged more recently. We review data from preclinical and clinical studies demonstrating a conserved reduction of electrophysiological function in diabetic retinas, as well as evidence for photoreceptor loss. Complementing in vivo studies, we discuss the ex vivo electroretinography technique as a useful method to investigate photoreceptor function in isolated retinas from diabetic animal models. Finally, we consider the possibility that early photoreceptor pathology contributes to the progression of DR, and discuss possible mechanisms of photoreceptor damage in the diabetic retina, such as enhanced production of reactive oxygen species and other inflammatory factors whose detrimental effects may be augmented by phototransduction.","['1 John A. Moran Eye Center, University of Utah, Salt Lake City, Utah.']","Silke Becker, Lara S Carroll, Frans Vinberg, ",Visual neuroscience,2020,diabetes; electroretinogram; photoreceptors; retina.,https://pubmed.ncbi.nlm.nih.gov/33019947
12,Deep Q-CapsNet Reinforcement Learning Framework for Intrauterine Cavity Segmentation in TTTS Fetal Surgery Planning,"Fetoscopic laser photocoagulation is the most effective treatment for Twin-to-Twin Transfusion Syndrome, a condition affecting twin pregnancies in which there is a deregulation of blood circulation through the placenta, that can be fatal to both babies. For the purposes of surgical planning, we design the first automatic approach to detect and segment the intrauterine cavity from axial, sagittal and coronal MRI stacks. Our methodology relies on the ability of capsule networks to successfully capture the part-whole interdependency of objects in the scene, particularly for unique class instances (i.e., intrauterine cavity). The presented deep Q-CapsNet reinforcement learning framework is built upon a context-adaptive detection policy to generate a bounding box of the womb. A capsule architecture is subsequently designed to segment (or refine) the whole intrauterine cavity. This network is coupled with a strided nnU-Net feature extractor, which encodes discriminative feature maps to construct strong primary capsules. The method is robustly evaluated with and without the localization stage using 13 performance measures, and directly compared with 15 state-of-the-art deep neural networks trained on 71 singleton and monochorionic twin pregnancies. An average Dice score above 0.91 is achieved for all ablations, revealing the potential of our approach to be used in clinical practice.",NO_AFFILIATIONS,"Jordina Torrents-Barrena, Gemma Piella, Eduard Gratacos, Elisenda Eixarch, Mario Ceresa, Miguel A Gonalez Ballester, ",IEEE transactions on medical imaging,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/32305906
13,A novel CapsNet neural network based on MobileNetV2 structure for robot image classification,"Image classification indicates that it classifies the images into a certain category according to the information in the image. Therefore, extracting image feature information is an important research content in image classification. Traditional image classification mainly uses machine learning methods to extract features. With the continuous development of deep learning, various deep learning algorithms are gradually applied to image classification. However, traditional deep learning-based image classification methods have low classification efficiency and long convergence time. The training networks are prone to over-fitting. In this paper, we present a novel CapsNet neural network based on the MobileNetV2 structure for robot image classification. Aiming at the problem that the lightweight network will sacrifice classification accuracy, the MobileNetV2 is taken as the base network architecture. CapsNet is improved by optimizing the dynamic routing algorithm to generate the feature graph. The attention module is introduced to increase the weight of the saliency feature graph learned by the convolutional layer to improve its classification accuracy. The parallel input of spatial information and channel information reduces the computation and complexity of network. Finally, the experiments are carried out in CIFAR-100 dataset. The results show that the proposed model is superior to other robot image classification models in terms of classification accuracy and robustness.","['1 Faculty of Robot Science and Engineering, Northeastern University, Shenyang, China.']","Jingsi Zhang, Xiaosheng Yu, Xiaoliang Lei, Chengdong Wu, ",Frontiers in neurorobotics,2022,CapsNet neural network; MobileNetV2; attention module; robot image classification; spatial and channel information.,https://pubmed.ncbi.nlm.nih.gov/36247359
14,RescueSNN: enabling reliable executions on spiking neural network accelerators under permanent faults,"To maximize the performance and energy efficiency of Spiking Neural Network (SNN) processing on resource-constrained embedded systems, specialized hardware accelerators/chips are employed. However, these SNN chips may suffer from permanent faults which can affect the functionality of weight memory and neuron behavior, thereby causing potentially significant accuracy degradation and system malfunctioning. Such permanent faults may come from manufacturing defects during the fabrication process, and/or from device/transistor damages (e.g., due to wear out) during the run-time operation. However, the impact of permanent faults in SNN chips and the respective mitigation techniques have not been thoroughly investigated yet. Toward this, we propose RescueSNN, a novel methodology to mitigate permanent faults in the compute engine of SNN chips without requiring additional retraining, thereby significantly cutting down the design time and retraining costs, while maintaining the throughput and quality. The key ideas of our RescueSNN methodology are (1) analyzing the characteristics of SNN under permanent faults; (2) leveraging this analysis to improve the SNN fault-tolerance through effective fault-aware mapping (FAM); and (3) devising lightweight hardware enhancements to support FAM. Our FAM technique leverages the fault map of SNN compute engine for (i) minimizing weight corruption when mapping weight bits on the faulty memory cells, and (ii) selectively employing faulty neurons that do not cause significant accuracy degradation to maintain accuracy and throughput, while considering the SNN operations and processing dataflow. The experimental results show that our RescueSNN improves accuracy by up to 80% while maintaining the throughput reduction below 25% in high fault rate (e.g., 0.5 of the potential fault locations), as compared to running SNNs on the faulty chip without mitigation. In this manner, the embedded systems that employ RescueSNN-enhanced chips can efficiently ensure reliable executions against permanent faults during their operational lifetime.","['1 Embedded Computing Systems, Institute of Computer Engineering, Technische Universität Wien (TU Wien), Vienna, Austria.', '2 eBrain Lab, Division of Engineering, New York University Abu Dhabi (NYUAD), Abu Dhabi, United Arab Emirates.']","Rachmad Vidya Wicaksana Putra, Muhammad Abdullah Hanif, Muhammad Shafique, ",Frontiers in neuroscience,2023,accelerators; fault tolerance; manufacturing defects; permanent faults; reliability; resilience; spiking neural networks.,https://pubmed.ncbi.nlm.nih.gov/37123371
15,Artificial intelligence based detection of age-related macular degeneration using optical coherence tomography with unique image preprocessing,"Purpose:
        
      
      The aim of the study is to improve the accuracy of age related macular degeneration (AMD) disease in its earlier phases with proposed Capsule Network (CapsNet) architecture trained on speckle noise reduced spectral domain optical coherence tomography (SD-OCT) images based on an optimized Bayesian non-local mean (OBNLM) filter augmentation techniques. Methods:
        
      
      A total of 726 local SD-OCT images were collected and labelled as 159 drusen, 145 dry AMD, 156 wet AMD and 266 normal. Region of interest (ROI) was identified. Speckle noise in SD-OCT images were reduced based on OBNLM filter. The processed images were fed to proposed CapsNet architecture to clasify SD-OCT images. Accuracy rates were calculated in both public and local dataset. Results:
        
      
      Accuracy rate of local SD-OCT image dataset classification was achieved to a value of 96.39% after performing data augmentation and speckle noise reduction with OBNLM. The performance of proposed CapsNet was also evaluated on the public Kaggle dataset under the same processing procedures and the accuracy rate was calculated as 98.07%. The sensitivity and specificity rates were 96.72% and 99.98%, respectively. Conclusions:
        
      
      The classification success of proposed CapsNet may be improved with robust pre-processing steps like; determination of ROI and denoised SD-OCT images based on OBNLM. These impactful image preprocessing steps yielded higher accuracy rates for determining different types of AMD including its precursor lesion on the both local and public dataset with proposed CapsNet architecture.","['1 Department of Ophthalmology, Acibadem University School of Medicine, Istanbul, Turkey.', '2 Department of Ophthalmology, Beylikduzu Public Hospital, Istanbul, Turkey.', ""3 United'Informatique et d'Ingenierie des Systemes, 52849ENSTA-ParisTech, Universite de Paris-Saclay, Villefranche Sur Mer, Provence-Alpes-Côte d'azur, France.""]","Ali Riza Cenk Celebi, Erkan Bulut, Aysun Sezer, ",European journal of ophthalmology,NO_DATE,AMD; Capsule network; OBNLM; SD-OCT; data augmentation; deep learning.,https://pubmed.ncbi.nlm.nih.gov/35469472
16,Prediction of Peptide Detectability Based on CapsNet and Convolutional Block Attention Module,"According to proteomics technology, as impacted by the complexity of sampling in the experimental process, several problems remain with the reproducibility of mass spectrometry experiments, and the peptide identification and quantitative results continue to be random. Predicting the detectability exhibited by peptides can optimize the mentioned results to be more accurate, so such a prediction is of high research significance. This study builds a novel method to predict the detectability of peptides by complying with the capsule network (CapsNet) and the convolutional block attention module (CBAM). First, the residue conical coordinate (RCC), the amino acid composition (AAC), the dipeptide composition (DPC), and the sequence embedding code (SEC) are extracted as the peptide chain features. Subsequently, these features are divided into the biological feature and sequence feature, and separately inputted into the neural network of CapsNet. Moreover, the attention module CBAM is added to the network to assign weights to channels and spaces, as an attempt to enhance the feature learning and improve the network training effect. To verify the effectiveness of the proposed method, it is compared with some other popular methods. As revealed from the experimentally achieved results, the proposed method outperforms those methods in most performance assessments.","['1 Department of Mathematical Sciences, School of Science, Zhejiang Sci-Tech University, Xuelin St., Hangzhou 310018, China.', '2 Institutes of Biomedical Sciences, Fudan University, 138 Yixueyuan Road, Shanghai 200032, China.']","Minzhe Yu, Yushuai Duan, Zhong Li, Yang Zhang, ",International journal of molecular sciences,2021,CBAM; CapsNet; amino acid composition; dipeptide composition; peptide detectability; physicochemical properties of residues.,https://pubmed.ncbi.nlm.nih.gov/34769509
17,Part-Object Relational Visual Saliency,"Recent years have witnessed a big leap in automatic visual saliency detection attributed to advances in deep learning, especially Convolutional Neural Networks (CNNs). However, inferring the saliency of each image part separately, as was adopted by most CNNs methods, inevitably leads to an incomplete segmentation of the salient object. In this paper, we describe how to use the property of part-object relations endowed by the Capsule Network (CapsNet) to solve the problems that fundamentally hinge on relational inference for visual saliency detection. Concretely, we put in place a two-stream strategy, termed Two-Stream Part-Object RelaTional Network (TSPORTNet), to implement CapsNet, aiming to reduce both the network complexity and the possible redundancy during capsule routing. Additionally, taking into account the correlations of capsule types from the preceding training images, a correlation-aware capsule routing algorithm is developed for more accurate capsule assignments at the training stage, which also speeds up the training dramatically. By exploring part-object relationships, TSPORTNet produces a capsule wholeness map, which in turn aids multi-level features in generating the final saliency map. Experimental results on five widely-used benchmarks show that our framework consistently achieves state-of-the-art performance. The code can be found on https://github.com/liuyi1989/TSPORTNet.",NO_AFFILIATIONS,"Yi Liu, Dingwen Zhang, Qiang Zhang, Jungong Han, ",IEEE transactions on pattern analysis and machine intelligence,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/33481705
18,Accurate Reconstruction of Image Stimuli From Human Functional Magnetic Resonance Imaging Based on the Decoding Model With Capsule Network Architecture,"In neuroscience, all kinds of computation models were designed to answer the open question of how sensory stimuli are encoded by neurons and conversely, how sensory stimuli can be decoded from neuronal activities. Especially, functional Magnetic Resonance Imaging (fMRI) studies have made many great achievements with the rapid development of deep network computation. However, comparing with the goal of decoding orientation, position and object category from human fMRI in visual cortex, accurate reconstruction of image stimuli is a still challenging work. Current prevailing methods were composed of two independent steps, (1) decoding intermediate features from human fMRI and (2) reconstruction using the decoded intermediate features. The new concept of 'capsule' and 'capsule' based neural network were proposed recently. The 'capsule' represented a kind of structure containing a group of neurons to perform better feature representation. Especially, the high-level capsule's features in the capsule network (CapsNet) contains various features of image stimuli such as semantic class, orientation, location, scale and so on, and these features can better represent the processed information inherited in the fMRI data collected in visual cortex. In this paper, a novel CapsNet architecture based visual reconstruction (CNAVR) computation model is developed to reconstruct image stimuli from human fMRI. The CNAVR is composed of linear encoding computation from capsule's features to fMRI data and inverse reconstruction computation. In the first part, we trained the CapsNet model to obtain the non-linear mappings from images to high-level capsule's features, and from high-level capsule's features to images again in an end-to-end manner. In the second part, we trained the non-linear mapping from fMRI data of selected voxels to high-level capsule's features. For a new image stimulus, we can use the method to predict the corresponding high-level capsule's features using fMRI data, and reconstruct image stimuli with the trained reconstruction part in the CapsNet. We evaluated the proposed CNAVR method on the open dataset of handwritten digital images, and exceeded about 10% than the accuracy of all existing state-of-the-art methods on the structural similarity index (SSIM). In addition, we explained the selected voxels in specific interpretable image features to prove the effectivity and generalization of the CNAVR method.","['1 National Digital Switching System Engineering and Technological Research Center, Zhengzhou, China.']","Kai Qiao, Chi Zhang, Linyuan Wang, Jian Chen, Lei Zeng, Li Tong, Bin Yan, ",Frontiers in neuroinformatics,2018,brain decoding; capsule network (CapsNet); functional magnetic resonance imaging (fMRI); machine learning; visual reconstruction.,https://pubmed.ncbi.nlm.nih.gov/30294269
19,Efficient-CapsNet: capsule network with self-attention routing,"Deep convolutional neural networks, assisted by architectural design strategies, make extensive use of data augmentation techniques and layers with a high number of feature maps to embed object transformations. That is highly inefficient and for large datasets implies a massive redundancy of features detectors. Even though capsules networks are still in their infancy, they constitute a promising solution to extend current convolutional networks and endow artificial visual perception with a process to encode more efficiently all feature affine transformations. Indeed, a properly working capsule network should theoretically achieve higher results with a considerably lower number of parameters count due to intrinsic capability to generalize to novel viewpoints. Nevertheless, little attention has been given to this relevant aspect. In this paper, we investigate the efficiency of capsule networks and, pushing their capacity to the limits with an extreme architecture with barely 160 K parameters, we prove that the proposed architecture is still able to achieve state-of-the-art results on three different datasets with only 2% of the original CapsNet parameters. Moreover, we replace dynamic routing with a novel non-iterative, highly parallelizable routing algorithm that can easily cope with a reduced number of capsules. Extensive experimentation with other capsule implementations has proved the effectiveness of our methodology and the capability of capsule networks to efficiently embed visual representations more prone to generalization.","['1 Department of Electronics and Telecommunications, Politecnico di Torino, 10129, Turin, Italy. vittorio.mazzia@polito.it.', '2 PIC4SeR, Politecnico di Torino Interdepartmental Centre for Service Robotics, Turin, Italy. vittorio.mazzia@polito.it.', '3 SmartData@PoliTo, Big Data and Data Science Laboratory, Turin, Italy. vittorio.mazzia@polito.it.', '4 Department of Electronics and Telecommunications, Politecnico di Torino, 10129, Turin, Italy.', '5 PIC4SeR, Politecnico di Torino Interdepartmental Centre for Service Robotics, Turin, Italy.', '6 SmartData@PoliTo, Big Data and Data Science Laboratory, Turin, Italy.']","Vittorio Mazzia, Francesco Salvetti, Marcello Chiaberge, ",Scientific reports,2021,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/34282164
